periodConcept,Relation,ConceptLevel,Start Age£¨Ma£©,Bottom Time Uncertainty(Ma),End Age(Ma),Top Time Uncertainty(Ma),Version,positionCoding,Part of,Labal,Publication_year,
Algonkian,inScheme,Period,45.14,unspecified,27.64,unspecified,Walcott1893,02_11_51,Phanerozoic,Algonkian1893,1893,
Paleozoic,inScheme,Period,27.64,unspecified,10.14,unspecified,Walcott1893,02_11_52,Phanerozoic,Paleozoic1893,1893,
Mesozoic,inScheme,Period,10.14,unspecified,2.9,unspecified,Walcott1893,02_11_53,Phanerozoic,Mesozoic1893,1893,
Cenozoic,inScheme,Period,2.9,unspecified,0,0,Walcott1893,02_11_54,Phanerozoic,Cenozoic1893,1893,
Paleozoic,inScheme,Period,57,unspecified,12,unspecified,Williams1893(Barrell1917),03_11_33,Phanerozoic,PaleozoicWilliams1893(Barrell1917),1893,
Cambrian,inScheme,Period,57,unspecified,42,unspecified,Williams1893(Barrell1917),03_11_33_77,Phanerozoic,CambrianWilliams1893(Barrell1917),1893,
Ordovician,inScheme,Period,42,unspecified,27,unspecified,Williams1893(Barrell1917),03_11_33_76,Phanerozoic,OrdovicianWilliams1893(Barrell1917),1893,
Silurian,inScheme,Period,27,unspecified,23,unspecified,Williams1893(Barrell1917),03_11_33_75,Phanerozoic,SilurianWilliams1893(Barrell1917),1893,
Devonian,inScheme,Period,23,unspecified,18,unspecified,Williams1893(Barrell1917),03_11_33_74,Phanerozoic,DevonianWilliams1893(Barrell1917),1893,
Mississppian,inScheme,Period,18,unspecified,unspecified,unspecified,Williams1893(Barrell1917),03_11_33_73,Phanerozoic,MississppianWilliams1893(Barrell1917),1893,
Pennsylvanian,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Williams1893(Barrell1917),03_11_33_72,Phanerozoic,PennsylvanianWilliams1893(Barrell1917),1893,
Permian,inScheme,Period,unspecified,unspecified,12,unspecified,Williams1893(Barrell1917),03_11_33_71,Phanerozoic,PermianWilliams1893(Barrell1917),1893,
Mesozoic,inScheme,Period,12,unspecified,3,unspecified,Williams1893(Barrell1917),03_11_32,Phanerozoic,MesozoicWilliams1893(Barrell1917),1893,
Triassic,inScheme,Period,12,unspecified,10,unspecified,Williams1893(Barrell1917),03_11_32_44,Phanerozoic,TriassicWilliams1893(Barrell1917),1893,
Jurassic,inScheme,Period,10,unspecified,7,unspecified,Williams1893(Barrell1917),03_11_32_43,Phanerozoic,JurassicWilliams1893(Barrell1917),1893,
Comanche,inScheme,Period,7,unspecified,unspecified,unspecified,Williams1893(Barrell1917),03_11_32_42,Phanerozoic,ComancheWilliams1893(Barrell1917),1893,
Cretaceous,inScheme,Period,unspecified,unspecified,3,unspecified,Williams1893(Barrell1917),03_11_32_41,Phanerozoic,CretaceousWilliams1893(Barrell1917),1893,
Cenozoic,inScheme,Period,3,unspecified,0,unspecified,Williams1893(Barrell1917),03_11_31,Phanerozoic,CenozoicWilliams1893(Barrell1917),1893,
Eocene,inScheme,Period,3,unspecified,unspecified,unspecified,Williams1893(Barrell1917),03_11_31_66,Phanerozoic,EoceneWilliams1893(Barrell1917),1893,
Oligocene,inScheme,Period,unspecified,unspecified,2,unspecified,Williams1893(Barrell1917),03_11_31_65,Phanerozoic,OligoceneWilliams1893(Barrell1917),1893,
Miocene,inScheme,Period,2,unspecified,unspecified,unspecified,Williams1893(Barrell1917),03_11_31_64,Phanerozoic,MioceneWilliams1893(Barrell1917),1893,
Pliocene,inScheme,Period,unspecified,unspecified,1,unspecified,Williams1893(Barrell1917),03_11_31_63,Phanerozoic,PlioceneWilliams1893(Barrell1917),1893,
Pleistocene,inScheme,Period,1,unspecified,unspecified,unspecified,Williams1893(Barrell1917),03_11_31_62,Phanerozoic,PleistoceneWilliams1893(Barrell1917),1893,
Recent,inScheme,Period,unspecified,unspecified,0,0,Williams1893(Barrell1917),03_11_31_61,Phanerozoic,RecentWilliams1893(Barrell1917),1893,
Paleozoic,inScheme,Period,30,unspecified,12,unspecified,Schuchert1910(Barrell1917),03_11_33,Phanerozoic,PaleozoicSchuchert1910(Barrell1917),1910,
Cambrian,inScheme,Period,30,unspecified,26.4,unspecified,Schuchert1910(Barrell1917),03_11_33_77,Phanerozoic,CambrianSchuchert1910(Barrell1917),1910,
Ordovician,inScheme,Period,26.4,unspecified,22.26,unspecified,Schuchert1910(Barrell1917),03_11_33_76,Phanerozoic,OrdovicianSchuchert1910(Barrell1917),1910,
Silurian,inScheme,Period,22.26,unspecified,20.46,unspecified,Schuchert1910(Barrell1917),03_11_33_75,Phanerozoic,SilurianSchuchert1910(Barrell1917),1910,
Devonian,inScheme,Period,20.46,unspecified,18.48,unspecified,Schuchert1910(Barrell1917),03_11_33_74,Phanerozoic,DevonianSchuchert1910(Barrell1917),1910,
Mississppian,inScheme,Period,18.48,unspecified,15.78,unspecified,Schuchert1910(Barrell1917),03_11_33_73,Phanerozoic,MississppianSchuchert1910(Barrell1917),1910,
Pennsylvanian,inScheme,Period,15.78,unspecified,13.62,unspecified,Schuchert1910(Barrell1917),03_11_33_72,Phanerozoic,PennsylvanianSchuchert1910(Barrell1917),1910,
Permian,inScheme,Period,13.62,unspecified,12,unspecified,Schuchert1910(Barrell1917),03_11_33_71,Phanerozoic,PermianSchuchert1910(Barrell1917),1910,
Mesozoic,inScheme,Period,12,unspecified,3,unspecified,Schuchert1910(Barrell1917),03_11_32,Phanerozoic,MesozoicSchuchert1910(Barrell1917),1910,
Triassic,inScheme,Period,12,unspecified,9.75,unspecified,Schuchert1910(Barrell1917),03_11_32_44,Phanerozoic,TriassicSchuchert1910(Barrell1917),1910,
Jurassic,inScheme,Period,9.75,unspecified,7.5,unspecified,Schuchert1910(Barrell1917),03_11_32_43,Phanerozoic,JurassicSchuchert1910(Barrell1917),1910,
Comanche,inScheme,Period,7.5,unspecified,5.7,unspecified,Schuchert1910(Barrell1917),03_11_32_42,Phanerozoic,ComancheSchuchert1910(Barrell1917),1910,
Cretaceous,inScheme,Period,5.7,unspecified,3,unspecified,Schuchert1910(Barrell1917),03_11_32_41,Phanerozoic,CretaceousSchuchert1910(Barrell1917),1910,
Cenozoic,inScheme,Period,3,unspecified,0,unspecified,Schuchert1910(Barrell1917),03_11_31,Phanerozoic,CenozoicSchuchert1910(Barrell1917),1910,
Eocene,inScheme,Period,3,unspecified,unspecified,unspecified,Schuchert1910(Barrell1917),03_11_31_66,Phanerozoic,EoceneSchuchert1910(Barrell1917),1910,
Oligocene,inScheme,Period,unspecified,unspecified,1.5,unspecified,Schuchert1910(Barrell1917),03_11_31_65,Phanerozoic,OligoceneSchuchert1910(Barrell1917),1910,
Miocene,inScheme,Period,1.5,unspecified,unspecified,unspecified,Schuchert1910(Barrell1917),03_11_31_64,Phanerozoic,MioceneSchuchert1910(Barrell1917),1910,
Pliocene,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Schuchert1910(Barrell1917),03_11_31_63,Phanerozoic,PlioceneSchuchert1910(Barrell1917),1910,
Pleistocene,inScheme,Period,unspecified,unspecified,unspecified,unspecified,Schuchert1910(Barrell1917),03_11_31_62,Phanerozoic,PleistoceneSchuchert1910(Barrell1917),1910,
Recent,inScheme,Period,unspecified,unspecified,0,0,Schuchert1910(Barrell1917),03_11_31_61,Phanerozoic,RecentSchuchert1910(Barrell1917),1910,
Paleozoic,inScheme,Period,25.3,unspecified,13.2,unspecified,Sollas1909(Barrell1917),03_11_33,Phanerozoic,PaleozoicSollas1909(Barrell1917),1909,
Cambrian,inScheme,Period,25.3,unspecified,22.7,unspecified,Sollas1909(Barrell1917),03_11_33_77,Phanerozoic,CambrianSollas1909(Barrell1917),1909,
Ordovician,inScheme,Period,22.7,unspecified,21,unspecified,Sollas1909(Barrell1917),03_11_33_76,Phanerozoic,OrdovicianSollas1909(Barrell1917),1909,
Silurian,inScheme,Period,21,unspecified,19.5,unspecified,Sollas1909(Barrell1917),03_11_33_75,Phanerozoic,SilurianSollas1909(Barrell1917),1909,
Devonian,inScheme,Period,19.5,unspecified,17.3,unspecified,Sollas1909(Barrell1917),03_11_33_74,Phanerozoic,DevonianSollas1909(Barrell1917),1909,
Mississppian,inScheme,Period,17.3,unspecified,unspecified,unspecified,Sollas1909(Barrell1917),03_11_33_73,Phanerozoic,MississppianSollas1909(Barrell1917),1909,
Pennsylvanian,inScheme,Period,unspecified,unspecified,14.4,unspecified,Sollas1909(Barrell1917),03_11_33_72,Phanerozoic,PennsylvanianSollas1909(Barrell1917),1909,
Permian,inScheme,Period,14.4,unspecified,13.2,unspecified,Sollas1909(Barrell1917),03_11_33_71,Phanerozoic,PermianSollas1909(Barrell1917),1909,
Mesozoic,inScheme,Period,13.2,unspecified,6.3,unspecified,Sollas1909(Barrell1917),03_11_32,Phanerozoic,MesozoicSollas1909(Barrell1917),1909,
Triassic,inScheme,Period,13.2,unspecified,11.5,unspecified,Sollas1909(Barrell1917),03_11_32_44,Phanerozoic,TriassicSollas1909(Barrell1917),1909,
Jurassic,inScheme,Period,11.5,unspecified,10.7,unspecified,Sollas1909(Barrell1917),03_11_32_43,Phanerozoic,JurassicSollas1909(Barrell1917),1909,
Comanche,inScheme,Period,10.7,unspecified,8.7,unspecified,Sollas1909(Barrell1917),03_11_32_42,Phanerozoic,ComancheSollas1909(Barrell1917),1909,
